"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2021","407.36","409.33","413.29","402.67","64.89M","-0.64%"
"04/11/2021","409.97","411.47","414.50","405.67","76.19M","1.32%"
"03/11/2021","404.62","392.44","405.13","384.21","103.89M","3.57%"
"02/11/2021","390.67","386.45","402.86","382.00","128.21M","-3.03%"
"01/11/2021","402.86","381.67","403.25","372.89","168.15M","8.49%"
"29/10/2021","371.33","360.62","371.74","357.73","89.76M","3.43%"
"28/10/2021","359.01","356.10","360.33","351.40","81.64M","3.78%"
"27/10/2021","345.95","346.55","356.96","343.59","115.58M","1.91%"
"26/10/2021","339.48","341.56","364.98","333.81","187.24M","-0.63%"
"25/10/2021","341.62","316.84","348.34","314.73","188.56M","12.66%"
"22/10/2021","303.23","298.50","303.33","296.99","68.64M","1.75%"
"21/10/2021","298.00","285.33","300.00","285.17","94.44M","3.26%"
"20/10/2021","288.60","288.45","289.83","285.79","42.10M","0.18%"
"19/10/2021","288.09","292.51","292.65","287.50","52.14M","-0.67%"
"18/10/2021","290.04","283.93","291.75","283.82","72.62M","3.21%"
"15/10/2021","281.01","274.58","281.07","274.12","56.77M","3.02%"
"14/10/2021","272.77","271.83","273.42","271.12","36.74M","0.89%"
"13/10/2021","270.36","270.16","271.80","268.59","42.36M","0.67%"
"12/10/2021","268.57","266.98","270.77","265.52","66.06M","1.74%"
"11/10/2021","263.98","262.55","267.08","261.83","42.60M","0.82%"
"08/10/2021","261.83","265.40","265.46","260.30","50.22M","-1.02%"
"07/10/2021","264.54","261.82","268.33","261.13","57.59M","1.39%"
"06/10/2021","260.92","258.73","262.22","257.74","43.90M","0.28%"
"05/10/2021","260.20","261.60","265.77","258.07","55.30M","-0.12%"
"04/10/2021","260.51","265.50","268.99","258.71","91.45M","0.81%"
"01/10/2021","258.41","259.47","260.26","254.53","51.09M","-0.03%"
"30/09/2021","258.49","260.33","263.04","258.33","53.87M","-0.75%"
"29/09/2021","260.44","259.93","264.50","256.89","62.83M","0.48%"
"28/09/2021","259.19","262.40","265.21","255.39","76.14M","-1.74%"
"27/09/2021","263.79","257.71","266.33","256.44","84.21M","2.19%"
"24/09/2021","258.13","248.63","258.27","248.19","64.12M","2.75%"
"23/09/2021","251.21","251.67","252.73","249.31","35.84M","0.23%"
"22/09/2021","250.65","247.84","251.22","246.37","45.38M","1.70%"
"21/09/2021","246.46","244.93","248.25","243.48","48.99M","1.26%"
"20/09/2021","243.39","244.85","247.33","239.54","74.27M","-3.86%"
"17/09/2021","253.16","252.38","253.68","250.00","84.61M","0.33%"
"16/09/2021","252.33","250.94","252.97","249.20","41.77M","0.15%"
"15/09/2021","251.94","248.33","252.29","246.12","46.07M","1.52%"
"14/09/2021","248.16","247.52","251.49","245.47","55.58M","0.20%"
"13/09/2021","247.67","246.74","248.26","236.28","68.86M","0.91%"
"10/09/2021","245.42","253.20","254.20","244.84","45.55M","-2.46%"
"09/09/2021","251.62","251.14","254.03","250.54","42.23M","0.13%"
"08/09/2021","251.29","253.86","254.82","246.92","56.38M","0.13%"
"07/09/2021","250.97","246.67","253.40","246.42","60.12M","2.64%"
"03/09/2021","244.52","244.08","244.67","241.40","45.81M","0.16%"
"02/09/2021","244.13","244.83","246.99","243.51","38.39M","-0.23%"
"01/09/2021","244.70","244.69","247.33","243.76","39.61M","-0.22%"
"31/08/2021","245.24","244.33","246.80","242.15","62.57M","0.66%"
"30/08/2021","243.64","238.24","243.67","237.58","55.81M","2.67%"
"27/08/2021","237.31","235.00","238.33","234.03","41.50M","1.53%"
"26/08/2021","233.72","236.10","238.47","232.54","39.64M","-1.41%"
