,ds,yhat,yhat_lower,yhat_upper
1941,1984-05-07,11.56764232572089,9.697405562984086,13.186141601177464
1942,1984-05-08,11.681155639457238,10.029214327209038,13.40685148005564
1943,1984-05-09,11.848894479691399,10.11675655011639,13.573566249690193
1944,1984-05-10,11.961619610167745,10.290325090880524,13.65799233052931
1945,1984-05-11,12.036072831895826,10.313735932882738,13.806462153099769
1946,1984-05-12,12.094988205265873,10.496223406729404,13.877118532687469
1947,1984-05-13,12.254595260033145,10.616982909168234,13.905672120775044
1948,1984-05-14,12.3948743117924,10.662085848549774,14.200625055696618
1949,1984-05-15,12.513964224127822,10.83151270717427,14.302647295592562
1950,1984-05-16,12.686250767024976,10.882040535100325,14.498386899121359
1951,1984-05-17,12.802213196563816,11.038332900184814,14.587944922781972
1952,1984-05-18,12.878339590840078,11.139273972107988,14.583090322472996
1953,1984-05-19,12.937147139978242,11.020015372164176,14.702848129858777
1954,1984-05-20,13.094693267289951,11.329054725582422,14.871274887823816
1955,1984-05-21,13.230837462453945,11.443856635897996,14.902339692181718
1956,1984-05-22,13.343653971621517,11.64668380118236,15.137149874473788
1957,1984-05-23,13.50752334960464,11.653844306524409,15.279930332210803
1958,1984-05-24,13.612980406469026,11.964932865600987,15.369640103113982
1959,1984-05-25,13.676629045871998,11.835331385907072,15.499024260215982
1960,1984-05-26,13.721160211165564,11.933335787024978,15.543116122149497
1961,1984-05-27,13.862858889318472,12.211193395163024,15.573837217401941
1962,1984-05-28,13.981860178837438,12.319815004551963,15.741533895277382
1963,1984-05-29,14.076554740140256,12.422081100923391,15.94053109797722
1964,1984-05-30,14.221671849928583,12.4434069140428,16.04326054045149
1965,1984-05-31,14.308117844444611,12.682253788092428,15.95075843771154
1966,1984-06-01,14.352880730053933,12.684915892308855,16.12581046345558
1967,1984-06-02,14.379037478373611,12.543814868855042,16.02033148219723
1968,1984-06-03,14.503250268330783,12.713077396293997,16.119274840123676
1969,1984-06-04,14.606011995577074,12.863253732501434,16.28379006828112
1970,1984-06-05,14.686041674646267,12.970993497420752,16.463887018852972
1971,1984-06-06,14.818358246080326,13.042985581415595,16.531078431792483
1972,1984-06-07,14.894110839432935,13.23850080011627,16.586652513866742
1973,1984-06-08,14.930476504308563,13.389873952918807,16.74665894087046
1974,1984-06-09,14.950662121460097,13.259457727595496,16.65669325810985
1975,1984-06-10,15.071396906725367,13.368397848442315,16.836654905230493
1976,1984-06-11,15.173175930118406,13.42850443918121,16.941088145818416
1977,1984-06-12,15.25465532615597,13.52294779989425,17.05469869845959
1978,1984-06-13,15.390727705960646,13.71127073602553,17.230176756641388
1979,1984-06-14,15.472355768376673,13.548695701768827,17.25838893670211
1980,1984-06-15,15.516475018453049,13.8187238459044,17.325160710791675
1981,1984-06-16,15.546002154724045,13.826834891153785,17.28981008828765
1982,1984-06-17,15.677335345368196,13.689802233811596,17.42565479742446
1983,1984-06-18,15.790606586608046,14.059727802294278,17.610664758978647
1984,1984-06-19,15.88408656114067,14.18087198318181,17.47502818460108
1985,1984-06-20,16.032270227193926,14.293269238635053,17.91698549312987
1986,1984-06-21,16.125720842140822,14.470695798267123,17.894762978169407
1987,1984-06-22,16.18098303098022,14.609822108874546,17.907115227530767
1988,1984-06-23,16.22060116702843,14.4835990651081,17.969721181090446
1989,1984-06-24,16.360629003301092,14.544765586753314,18.102063114285247
1990,1984-06-25,16.480890486949942,14.799728803915237,18.26442889363267
1991,1984-06-26,16.579391941588526,14.752345133061294,18.187570078306404
1992,1984-06-27,16.730413649788332,14.917129842630182,18.406215525300944
1993,1984-06-28,16.82435838152777,15.18311407925663,18.643888902954902
1994,1984-06-29,16.877667365243724,15.32172478230718,18.57486872940623
1995,1984-06-30,16.912839902653296,15.156004389374838,18.66180512747079
1996,1984-07-01,17.045942548726394,15.236277623255528,18.62674027498865
1997,1984-07-02,17.15686782129034,15.501863011967155,18.89699746102056
1998,1984-07-03,17.2437427051478,15.548305920917999,18.992790628955603
1999,1984-07-04,17.381015108282735,15.604348629259897,19.148791589115344
2000,1984-07-05,17.45929598248656,15.636478084745882,19.11737607885681
2001,1984-07-06,17.495267807708995,15.80468351358193,19.132334206760987
2002,1984-07-07,17.511695873861115,15.709653938857862,19.33864842831065
2003,1984-07-08,17.62492853692114,15.888054320341183,19.301423241995717
2004,1984-07-09,17.715146684552,16.021520141169656,19.412873446382733
2005,1984-07-10,17.780762954078156,16.126190748841946,19.498470722000835
2006,1984-07-11,17.896499137413873,16.118257280685242,19.77106789999379
2007,1984-07-12,17.9532197532331,16.323625718185717,19.791745199113873
2008,1984-07-13,17.96783273681102,16.098147794150577,19.708109160993647
2009,1984-07-14,17.96329390831287,16.113692271984746,19.55900675815878
2010,1984-07-15,18.05610159286605,16.31992934044073,19.846182224024815
2011,1984-07-16,18.12654178800533,16.328183819996912,19.83706714204357
2012,1984-07-17,18.173084541148985,16.450789554520654,19.920447130014306
2013,1984-07-18,18.270460047707644,16.49083209460501,19.97015517992099
2014,1984-07-19,18.309492480382303,16.571175222902973,20.038779696904953
