,ds,yhat,yhat_lower,yhat_upper
9725,2005-09-15,16.18952430720886,14.452705708560238,17.77918755029645
9726,2005-09-16,16.054654192834956,14.225064043727752,17.72684096551008
9727,2005-09-17,15.904141579266609,14.224092646524701,17.61305551791813
9728,2005-09-18,15.862948507309767,14.18127171678973,17.672878845781515
9729,2005-09-19,15.782917714032493,14.057258352120517,17.600429863260278
9730,2005-09-20,15.671731654363402,13.97491082795625,17.400106172206772
9731,2005-09-21,15.6189299006004,13.8991898849438,17.31869308567461
9732,2005-09-22,15.482715105396496,13.72199412643331,17.433820357321054
9733,2005-09-23,15.325908485921756,13.664221748307854,17.05814122823756
9734,2005-09-24,15.152361335953376,13.412975861547489,16.995405125916225
9735,2005-09-25,15.087581107095534,13.310343495252344,16.78712163159168
9736,2005-09-26,14.98395829980927,13.231474774645793,16.92342976033067
9737,2005-09-27,14.849710565868534,13.109557725069699,16.66219732834029
9738,2005-09-28,14.774885813494459,12.885671429023978,16.357499273743002
9739,2005-09-29,14.618154879647792,12.939981913260505,16.374420265429784
9740,2005-09-30,14.442755073697441,12.582381568341313,16.104028123841502
9741,2005-10-01,14.252891404095653,12.540704076224479,16.103630283018138
9742,2005-10-02,14.174354284503508,12.494622348907482,15.875288216601824
9743,2005-10-03,14.05974015915179,12.501272179817141,15.897657933590102
9744,2005-10-04,13.917391587143502,12.145913017308077,15.657104240265618
9745,2005-10-05,13.83739865092453,12.172897564697058,15.658125332148208
9746,2005-10-06,13.67839226201034,11.898076925081664,15.316417836437783
9747,2005-10-07,13.503490612005814,11.721877079894002,15.331574930013701
9748,2005-10-08,13.316705462001948,11.52012185447599,15.052706731854093
9749,2005-10-09,13.243566890028353,11.500419886330103,14.931224356115289
9750,2005-10-10,13.136352707100034,11.491144524606694,14.789462340341332
9751,2005-10-11,13.00303880699947,11.322190328822886,14.673662325990014
9752,2005-10-12,12.933312003490798,11.202662715629476,14.647745477189295
9753,2005-10-13,12.785375588852588,10.986816180845924,14.46823246820057
9754,2005-10-14,12.621908504865088,10.874787228664449,14.402641509042972
